,B,V
0,20.535,19.842
1,19.254,18.681
2,21.173,20.441
3,20.938,20.242
4,17.145,16.632
5,20.856,20.202
6,19.905,19.095
7,20.844,20.116
8,20.354,19.696
9,19.275,18.694
10,21.197,20.246
11,19.089,18.485
12,19.258,18.725
13,20.533,19.739
14,19.868,19.243
15,20.102,19.454
16,21.745,21.035
17,20.855,20.075
18,20.856,20.105
19,20.962,20.255
20,18.537,17.823
21,21.641,20.673
22,19.753,19.144
23,19.087,18.562
24,19.042,18.489
25,20.511,19.925
26,20.887,20.142
27,20.787,20.02
28,19.38,18.784
29,18.687,18.135
30,20.184,19.57
31,18.792,18.271
32,19.135,18.618
33,19.059,18.511
34,16.849,16.039
35,20.253,19.576
36,20.109,19.382
37,21.462,20.574
38,20.734,19.967
39,18.327,17.667
40,17.734,16.827
41,20.933,20.359
42,20.284,19.675
43,19.056,18.508
44,21.789,20.822
45,20.731,19.459
46,16.509,15.712
47,18.532,17.77
48,20.86,20.106
49,19.447,18.849
50,21.727,20.769
51,21.341,20.724
52,21.16,20.339
53,19.69,19.039
54,19.937,19.283
55,20.991,20.163
56,20.075,19.462
57,20.182,19.675
58,21.691,20.826
59,19.298,18.738
60,20.475,19.832
61,18.836,18.26
62,21.349,20.512
63,21.991,21.197
64,20.492,19.788
65,20.056,19.236
66,21.589,20.553
67,20.351,19.731
68,20.689,19.938
69,18.452,17.946
70,21.718,20.86
71,21.124,20.273
72,18.215,17.557
73,19.823,19.17
74,20.074,19.439
75,20.925,20.295
76,20.919,20.101
77,19.598,19.036
78,18.696,18.171
79,20.424,19.713
80,20.743,20.02
81,21.63,20.769
82,21.606,20.776
83,21.111,20.242
84,19.982,19.381
85,21.136,20.414
86,16.43,15.468
87,20.928,20.242
88,22.023,20.923
89,20.317,19.668
90,18.255,17.495
91,19.637,19.039
92,21.229,20.387
93,20.255,19.54
94,21.582,20.313
95,18.946,18.353
96,20.765,20.003
97,21.602,20.602
98,20.639,19.872
99,19.313,18.799
100,21.689,20.431
101,20.285,19.627
102,21.074,20.283
103,20.778,20.031
104,21.589,20.796
105,20.217,19.224
106,19.103,18.503
107,21.057,20.236
108,20.753,19.752
109,18.528,17.842
110,20.753,20.018
111,21.806,20.839
112,21.28,20.378
113,21.077,20.275
114,20.15,19.547
115,22.063,20.807
116,22.514,20.619
117,19.901,19.194
118,19.723,19.091
119,20.705,19.938
120,18.163,17.227
121,19.987,19.275
122,21.609,20.673
123,20.992,20.375
124,16.729,15.901
125,21.018,20.104
126,18.699,18.109
127,17.865,17.135
128,21.61,20.998
129,21.323,20.604
130,20.718,19.949
131,20.931,20.239
132,20.309,19.516
133,20.972,20.201
134,20.955,20.085
135,21.681,20.659
136,20.438,19.81
137,19.288,18.749
138,19.818,19.228
139,20.618,19.879
140,20.561,19.702
141,22.397,21.07
142,20.418,19.68
143,20.044,19.414
144,21.459,20.622
145,19.364,18.815
146,19.314,18.387
147,20.771,19.981
148,19.712,19.138
149,20.75,20.087
150,21.921,21.134
151,19.742,19.053
152,20.551,19.871
153,16.954,16.173
154,21.871,21.212
155,19.93,19.286
156,21.17,20.472
157,20.107,19.451
158,21.76,20.992
159,21.563,21.114
160,20.227,19.634
161,20.119,19.563
162,22.04,21.154
163,19.46,18.76
164,21.042,20.268
165,20.68,19.809
166,19.694,19.158
167,20.651,19.923
168,17.426,16.687
169,20.095,19.18
170,20.893,20.101
171,22.55,21.118
172,21.879,20.668
173,15.399,14.521
174,20.137,19.447
175,20.347,19.554
176,20.489,19.756
177,21.843,20.549
178,21.682,20.763
179,20.027,19.339
180,20.837,20.026
181,19.425,18.82
182,18.936,17.908
183,21.129,20.451
184,19.094,18.335
185,21.995,20.754
186,20.769,20.057
187,19.035,18.479
188,21.758,20.832
189,20.506,19.751
190,21.179,20.511
191,20.21,19.549
192,20.839,20.132
193,21.5,20.626
194,19.077,18.406
195,21.753,20.849
196,21.632,20.616
197,19.447,18.63
198,21.036,20.139
199,21.574,20.585
200,21.405,20.69
201,20.824,19.154
202,21.39,20.518
203,20.549,19.926
204,20.407,19.663
205,20.081,19.423
206,21.492,20.932
207,21.354,20.503
208,19.807,19.189
209,18.765,18.196
210,19.192,18.591
211,18.121,17.527
212,21.174,20.439
213,18.247,17.588
214,18.608,18.057
215,19.904,19.272
216,22.126,21.048
217,19.017,18.447
218,20.426,19.861
219,18.585,18.103
220,20.744,20.06
221,20.453,19.763
222,20.88,20.281
223,20.672,20.031
224,18.693,17.989
225,22.354,20.534
226,21.173,20.355
227,14.281,12.963
228,18.64,18.104
229,22.383,21.249
230,21.847,20.758
231,18.341,17.523
232,19.427,18.834
233,20.752,19.595
234,20.661,20.002
235,22.139,21.16
236,18.139,17.425
237,19.635,19.088
238,17.914,17.168
239,20.462,19.861
240,21.723,20.873
241,21.555,20.791
242,20.528,19.833
243,22.05,21.272
244,20.268,19.571
245,21.572,20.689
246,22.494,21.168
247,21.736,20.421
248,20.485,19.456
249,16.984,16.2
250,19.117,18.531
251,19.528,18.952
252,21.282,20.388
253,18.734,18.239
254,20.001,19.377
255,19.551,18.521
256,19.505,18.944
257,19.883,19.011
258,21.79,20.717
259,22.463,21.219
260,20.175,19.443
261,19.982,19.385
262,21.509,21.367
263,20.509,19.809
264,21.173,20.435
265,19.933,19.314
266,21.944,20.995
267,20.56,19.892
268,20.028,19.448
269,21.292,20.495
270,22.226,20.938
271,19.267,18.628
272,20.763,19.967
273,21.814,20.809
274,20.478,19.742
275,19.312,18.777
276,21.992,20.986
277,22.098,21.397
278,21.591,20.584
279,20.658,19.521
280,,19.518
281,21.696,20.74
282,20.603,19.905
283,19.894,19.356
284,21.851,20.839
285,21.263,20.178
286,20.782,20.048
287,20.564,19.894
288,21.066,20.316
289,20.551,19.916
290,19.194,18.632
291,20.758,19.997
292,19.235,18.656
293,22.245,21.352
294,21.701,20.176
295,21.151,20.272
296,21.619,19.792
297,21.608,20.792
298,22.228,20.986
299,20.833,19.992
300,19.842,19.255
301,19.837,19.214
302,22.8,21.63
303,21.828,20.875
304,20.692,19.883
305,18.392,17.785
306,19.666,19.03
307,21.108,20.232
308,22.144,21.409
309,19.231,18.704
310,19.16,18.602
311,18.474,17.948
312,21.837,20.944
313,21.619,20.772
314,22.149,21.064
315,20.663,19.837
316,22.313,21.498
317,21.091,20.238
318,19.527,18.964
319,20.287,19.468
320,19.283,18.784
321,19.921,19.311
322,18.073,17.394
323,21.696,20.728
324,20.478,19.818
325,19.614,18.986
326,22.402,21.008
327,21.758,20.883
328,19.83,19.202
329,21.096,20.112
330,20.373,19.608
331,20.809,20.214
332,21.136,20.556
333,18.635,18.092
334,20.799,19.958
335,20.591,19.908
336,21.624,20.614
337,22.103,21.004
338,18.8,18.287
339,22.157,21.27
340,20.203,19.562
341,21.284,20.358
342,22.318,21.239
343,21.063,20.353
344,19.343,18.749
345,20.179,19.503
346,19.854,19.207
347,18.74,18.04
348,21.405,20.272
349,20.753,20.326
350,19.321,18.757
351,22.172,21.056
352,20.895,20.173
353,20.735,20.087
354,15.798,14.92
355,16.18,15.397
356,21.199,20.285
357,19.219,18.639
358,21.048,20.107
359,18.403,17.724
360,19.484,18.884
361,20.647,20.046
