RAJ2000,_DEJ2000,n_Seq,Seq,RAJ2000,DEJ2000,pmRA,pmDE,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Icmag,e_Icmag
201.80208247,-47.75028882, ,     1,201.802078,-47.750278, -3.25, 11.78,      ,      ,20.535, 0.056,19.842, 0.155,18.729, 0.071
201.76372013,-47.75027375, ,     2,201.763730,-47.750272,  7.26,  1.98,      ,      ,19.254, 0.064,18.681, 0.044,17.909, 0.033
201.79936945,-47.75024856, ,     3,201.799369,-47.750242, -0.41,  7.24,      ,      ,21.173, 0.080,20.441, 0.046,19.437, 0.058
201.64188089,-47.75016368, ,     4,201.641896,-47.750155, 11.20,  9.50,      ,      ,20.938, 0.060,20.242, 0.083,19.308, 0.081
201.61163747,-47.75012979, ,     5,201.611638,-47.750119,  0.43, 11.93,      ,      ,17.145, 0.015,16.632, 0.016,15.953, 0.035
201.60922100,-47.75012257, ,     6,201.609219,-47.750121, -1.55,  1.60,      ,      ,20.856, 0.036,20.202, 0.064,19.263, 0.047
201.50628477,-47.74993107, ,     7,201.506294,-47.749911,  6.71, 21.84,      ,      ,19.905, 0.033,19.095, 0.031,18.136, 0.060
201.72152527,-47.75013209, ,     8,201.721527,-47.750125,  1.23,  7.76,      ,      ,20.844, 0.057,20.116, 0.017,19.347, 0.069
201.71494395,-47.75015518, ,     9,201.714951,-47.750153,  5.27,  2.33,      ,      ,20.354, 0.050,19.696, 0.028,18.909, 0.032
201.62902813,-47.75005987, ,    10,201.629034,-47.750053,  4.24,  7.46,      ,      ,19.275, 0.024,18.694, 0.024,17.953, 0.057
201.99001492,-47.74995645, ,    11,201.990031,-47.749954, 11.91,  2.80,      ,      ,21.197, 0.060,20.246, 0.120,19.408, 0.156
201.94260962,-47.74999346, ,    12,201.942606,-47.749989, -2.58,  5.00,      ,      ,19.089, 0.024,18.485, 0.021,17.767, 0.054
201.79481295,-47.75009455, ,    13,201.794820,-47.750087,  5.19,  8.32,      ,      ,19.258, 0.023,18.725, 0.038,17.979, 0.028
201.75509937,-47.75008364, ,    14,201.755096,-47.750068, -2.40, 17.05,      ,      ,20.533, 0.059,19.739, 0.067,18.866, 0.025
201.53482156,-47.74984053, ,    15,201.534823,-47.749831,  1.10, 10.31,      ,      ,19.868, 0.035,19.243, 0.020,18.454, 0.084
201.95759591,-47.74994251, ,    16,201.957595,-47.749938, -0.67,  4.87,      ,      ,20.102, 0.024,19.454, 0.020,18.665, 0.109
201.86442854,-47.74999736, ,    17,201.864429,-47.749987,  0.26, 11.40,      ,      ,21.745, 0.052,21.035, 0.153,19.970, 0.241
201.63394382,-47.74994048, ,    18,201.633952,-47.749931,  5.98, 10.25,      ,      ,20.855, 0.076,20.075, 0.050,19.158, 0.069
201.59548549,-47.74987240, ,    19,201.595488,-47.749866,  1.89,  6.88,      ,      ,20.856, 0.049,20.105, 0.090,19.264, 0.089
201.50030654,-47.74975349, ,    20,201.500314,-47.749745,  5.41,  9.29,      ,      ,20.962, 0.067,20.255, 0.050,19.458, 0.101
201.34594685,-47.74929425, ,    21,201.345947,-47.749288,  0.07,  6.78,      ,      ,18.537, 0.017,17.823, 0.023,17.054, 0.023
201.83863541,-47.74997265, ,    22,201.838648,-47.749974,  9.30, -1.36,      ,      ,21.641, 0.229,20.673, 0.126,19.715, 0.178
201.74045384,-47.74992901, ,    24,201.740462,-47.749918,  5.96, 11.99,      ,      ,19.753, 0.040,19.144, 0.043,18.296, 0.019
201.70699363,-47.74983546, ,    25,201.707002,-47.749828,  6.12,  8.10,      ,      ,19.087, 0.020,18.562, 0.031,17.799, 0.021
201.61915613,-47.74979995, ,    26,201.619164,-47.749793,  5.71,  7.54,      ,      ,19.042, 0.017,18.489, 0.035,17.717, 0.026
201.61689894,-47.74976360, ,    27,201.616912,-47.749756,  9.57,  8.20,      ,      ,20.511, 0.060,19.925, 0.118,18.990, 0.043
